Q86IC9 	 PGEN_.00g000010
P27169 	 PGEN_.00g001520
Q91090 	 PGEN_.00g001540
P27169 	 PGEN_.00g001560
P27169 	 PGEN_.00g001590
Q01484 	 PGEN_.00g001600
Q9ERK0 	 PGEN_.00g001610
P27169 	 PGEN_.00g001620
P27169 	 PGEN_.00g001630
P27169 	 PGEN_.00g001640
Q9H2F3 	 PGEN_.00g001660
Q14162 	 PGEN_.00g001670
Q3U0J8 	 PGEN_.00g001690
Q90511 	 PGEN_.00g001700
Q567C6 	 PGEN_.00g001720
Q8NC51 	 PGEN_.00g001730
Q8NE22 	 PGEN_.00g001740
Q9CQ66 	 PGEN_.00g001750
Q9D5I4 	 PGEN_.00g001760
H9D1R1 	 PGEN_.00g001770
P42285 	 PGEN_.00g001780
Q8N3J6 	 PGEN_.00g001800
Q80V70 	 PGEN_.00g001820
Q7T3Q2 	 PGEN_.00g001870
Q8N157 	 PGEN_.00g001880
Q6DTM3 	 PGEN_.00g001890
D3ZYR1 	 PGEN_.00g001900
Q9Y493 	 PGEN_.00g001910
Q0JRZ9 	 PGEN_.00g001920
O60290 	 PGEN_.00g001930
Q9UPU5 	 PGEN_.00g001940
Q9UPU5 	 PGEN_.00g001950
Q9UPU5 	 PGEN_.00g001960
P22694 	 PGEN_.00g001990
Q9XTR8 	 PGEN_.00g002050
Q9XTR8 	 PGEN_.00g002060
Q9XTR8 	 PGEN_.00g002070
P38040 	 PGEN_.00g002100
Q60519 	 PGEN_.00g002120
Q96N67 	 PGEN_.00g002130
E1BD59 	 PGEN_.00g002140
Q07553 	 PGEN_.00g002150
Q9BI23 	 PGEN_.00g002160
Q9BI23 	 PGEN_.00g002170
P70031 	 PGEN_.00g002180
C3ZQF9 	 PGEN_.00g002190
P49146 	 PGEN_.00g002200
Q96PY6 	 PGEN_.00g002210
P13002 	 PGEN_.00g002230
Q9VML9 	 PGEN_.00g002270
Q71R50 	 PGEN_.00g002290
Q71R50 	 PGEN_.00g002300
Q94521 	 PGEN_.00g002330
Q8NHV1 	 PGEN_.00g002360
Q3U487 	 PGEN_.00g002400
P56520 	 PGEN_.00g002420
Q6AY22 	 PGEN_.00g002430
P48416 	 PGEN_.00g002440
Q9CR50 	 PGEN_.00g002460
Q5ZM20 	 PGEN_.00g002470
Q8BFY9 	 PGEN_.00g002480
Q148G4 	 PGEN_.00g002490
A0JMW6 	 PGEN_.00g002500
Q0E908 	 PGEN_.00g002510
Q6UPR8 	 PGEN_.00g002520
O14792 	 PGEN_.00g002610
O15973 	 PGEN_.00g002640
Q9NWS1 	 PGEN_.00g002650
P09487 	 PGEN_.00g002680
Q5R9H4 	 PGEN_.00g002690
Q96EQ0 	 PGEN_.00g002700
O01159 	 PGEN_.00g002710
O59028 	 PGEN_.00g002720
Q5E9N4 	 PGEN_.00g002730
P49454 	 PGEN_.00g002750
Q9D2E2 	 PGEN_.00g002760
Q5GH57 	 PGEN_.00g002770
Q70KF4 	 PGEN_.00g002820
O59697 	 PGEN_.00g002830
Q7M6Y2 	 PGEN_.00g002850
Q8C0P7 	 PGEN_.00g002940
Q86YT6 	 PGEN_.00g003010
Q86YT6 	 PGEN_.00g003030
Q6P3N9 	 PGEN_.00g003040
Q4G0N4 	 PGEN_.00g003050
Q6DCD1 	 PGEN_.00g003060
Q96S53 	 PGEN_.00g003070
Q924U5 	 PGEN_.00g003090
O54905 	 PGEN_.00g003110
Q2TAP8 	 PGEN_.00g003120
Q5U2T6 	 PGEN_.00g003130
A7MB74 	 PGEN_.00g003140
Q28HM1 	 PGEN_.00g003150
Q49LS8 	 PGEN_.00g003160
Q6INU2 	 PGEN_.00g003170
A7RM45 	 PGEN_.00g003180
Q80U95 	 PGEN_.00g003190
Q9CWQ0 	 PGEN_.00g003200
A6QGC0 	 PGEN_.00g003210
A5HK05 	 PGEN_.00g003230
Q2KHU4 	 PGEN_.00g003240
Q90655 	 PGEN_.00g003250
Q1RMJ7 	 PGEN_.00g003270
Q6TNS2 	 PGEN_.00g003280
Q9CQN6 	 PGEN_.00g003290
Q13029 	 PGEN_.00g003300
Q28DB0 	 PGEN_.00g003340
Q2T9T9 	 PGEN_.00g003350
Q60HG0 	 PGEN_.00g003360
Q9VR50 	 PGEN_.00g003370
Q8JIS3 	 PGEN_.00g003400
Q498D9 	 PGEN_.00g003420
Q2V897 	 PGEN_.00g003430
Q55A09 	 PGEN_.00g003440
Q0E908 	 PGEN_.00g003450
Q5UAK0 	 PGEN_.00g003460
Q5VTH9 	 PGEN_.00g003470
Q9HAR2 	 PGEN_.00g003480
O42993 	 PGEN_.00g003490
P48375 	 PGEN_.00g003500
P18075 	 PGEN_.00g003570
Q8TAC1 	 PGEN_.00g003590
Q5RDY2 	 PGEN_.00g003620
Q3ZBH8 	 PGEN_.00g003630
Q9V9S7 	 PGEN_.00g003650
Q9V9S7 	 PGEN_.00g003660
O44252 	 PGEN_.00g003670
C9JJ37 	 PGEN_.00g003680
Q9ULJ7 	 PGEN_.00g003690
Q9WTP7 	 PGEN_.00g003700
Q562C7 	 PGEN_.00g003710
Q96MB7 	 PGEN_.00g003740
Q5R4R7 	 PGEN_.00g003760
Q20930 	 PGEN_.00g003790
Q9GRC0 	 PGEN_.00g003850
P37193 	 PGEN_.00g003880
Q90YB1 	 PGEN_.00g003890
Q14376 	 PGEN_.00g003900
Q9V477 	 PGEN_.00g003920
Q6TLF6 	 PGEN_.00g003930
Q2PFX5 	 PGEN_.00g003940
P09661 	 PGEN_.00g003950
Q0E908 	 PGEN_.00g003960
A4IF63 	 PGEN_.00g003970
Q0R4F1 	 PGEN_.00g003980
Q5M990 	 PGEN_.00g003990
Q9NA75 	 PGEN_.00g004010
P05549 	 PGEN_.00g004020
Q92485 	 PGEN_.00g004040
O35437 	 PGEN_.00g004080
P0C928 	 PGEN_.00g004090
Q9BXJ4 	 PGEN_.00g004100
Q9NZ71 	 PGEN_.00g004110
Q6E2N3 	 PGEN_.00g004120
Q16X92 	 PGEN_.00g004160
O93388 	 PGEN_.00g004170
Q6P4Y0 	 PGEN_.00g004180
Q99LU8 	 PGEN_.00g004190
Q9GZR5 	 PGEN_.00g004210
Q9NWZ5 	 PGEN_.00g004220
Q28113 	 PGEN_.00g004230
Q9H799 	 PGEN_.00g004260
Q4KM95 	 PGEN_.00g004270
P17713 	 PGEN_.00g004280
Q64425 	 PGEN_.00g004330
Q7ZYA0 	 PGEN_.00g004380
P35573 	 PGEN_.00g004390
Q6VH22 	 PGEN_.00g004400
B3EWZ3 	 PGEN_.00g004480
C0HL12 	 PGEN_.00g004490
D3YXG0 	 PGEN_.00g004510
Q8CG65 	 PGEN_.00g004530
Q7TPD6 	 PGEN_.00g004670
Q9CW46 	 PGEN_.00g004680
Q9D7W5 	 PGEN_.00g004690
P70353 	 PGEN_.00g004720
Q9Z1N2 	 PGEN_.00g004740
Q5RD00 	 PGEN_.00g004820
Q95ZQ4 	 PGEN_.00g004830
P54646 	 PGEN_.00g004840
O60290 	 PGEN_.00g004870
Q3SZN3 	 PGEN_.00g004890
E9QBI7 	 PGEN_.00g004940
A6ZM04 	 PGEN_.00g004960
O44388 	 PGEN_.00g005030
O60242 	 PGEN_.00g005150
D3YXG0 	 PGEN_.00g005160
C0HL12 	 PGEN_.00g005180
P29451 	 PGEN_.00g005230
Q9BXM0 	 PGEN_.00g005250
Q20930 	 PGEN_.00g005260
P10394 	 PGEN_.00g005280
Q5SVZ6 	 PGEN_.00g005310
Q6PAF4 	 PGEN_.00g005330
A5DPU0 	 PGEN_.00g005380
Q7TQN8 	 PGEN_.00g005430
Q12857 	 PGEN_.00g005480
Q61361 	 PGEN_.00g005530
F1N9Y5 	 PGEN_.00g005550
Q03001 	 PGEN_.00g005630
Q91ZU6 	 PGEN_.00g005660
Q91ZU6 	 PGEN_.00g005670
P9WN47 	 PGEN_.00g005680
Q6INU7 	 PGEN_.00g005740
Q8IZU9 	 PGEN_.00g005770
P9WN47 	 PGEN_.00g005960
Q6YI48 	 PGEN_.00g006030
Q8BR07 	 PGEN_.00g006130
Q99J45 	 PGEN_.00g006140
Q7SXZ1 	 PGEN_.00g006150
Q96Q15 	 PGEN_.00g006160
Q02763 	 PGEN_.00g006170
Q86Y82 	 PGEN_.00g006210
Q86WI3 	 PGEN_.00g006250
Q8NA29 	 PGEN_.00g006260
Q8N4L8 	 PGEN_.00g006270
Q9BYK8 	 PGEN_.00g006280
Q9BYK8 	 PGEN_.00g006290
Q5XGP7 	 PGEN_.00g006300
P18238 	 PGEN_.00g006310
P60323 	 PGEN_.00g006370
Q54TR1 	 PGEN_.00g006380
Q4WBR2 	 PGEN_.00g006390
Q7M4T0 	 PGEN_.00g006400
P51906 	 PGEN_.00g006410
Q92794 	 PGEN_.00g006420
A2ARS0 	 PGEN_.00g006440
Q6X893 	 PGEN_.00g006460
O88281 	 PGEN_.00g006470
Q0V9X5 	 PGEN_.00g006480
Q9BYV7 	 PGEN_.00g006490
Q9HAY6 	 PGEN_.00g006500
Q5PR73 	 PGEN_.00g006600
Q5BIM1 	 PGEN_.00g006670
Q9H8E8 	 PGEN_.00g006720
P12716 	 PGEN_.00g006800
A0JNC4 	 PGEN_.00g006830
Q0EEE2 	 PGEN_.00g006840
Q9UPN9 	 PGEN_.00g006850
Q18779 	 PGEN_.00g006890
Q15906 	 PGEN_.00g006920
A2A9C3 	 PGEN_.00g006930
V5NAL9 	 PGEN_.00g006940
P96576 	 PGEN_.00g006960
Q5QYG2 	 PGEN_.00g006990
Q96WX4 	 PGEN_.00g007000
P96576 	 PGEN_.00g007020
A2A9C3 	 PGEN_.00g007030
P86854 	 PGEN_.00g007040
A2A9C3 	 PGEN_.00g007050
Q5T011 	 PGEN_.00g007060
Q5T011 	 PGEN_.00g007070
Q8R3N6 	 PGEN_.00g007080
Q29RL9 	 PGEN_.00g007090
Q7SYV0 	 PGEN_.00g007100
Q8HXX8 	 PGEN_.00g007110
P81140 	 PGEN_.00g007120
P24585 	 PGEN_.00g007130
P37091 	 PGEN_.00g007140
P51167 	 PGEN_.00g007150
Q40593 	 PGEN_.00g007170
Q0VAA2 	 PGEN_.00g007190
Q8CGF5 	 PGEN_.00g007200
Q6AY85 	 PGEN_.00g007210
O42123 	 PGEN_.00g007260
B4F785 	 PGEN_.00g007300
Q8MSU3 	 PGEN_.00g007310
Q08AN1 	 PGEN_.00g007330
Q08499 	 PGEN_.00g007340
P12252 	 PGEN_.00g007390
Q9NYY3 	 PGEN_.00g007520
Q5R9T5 	 PGEN_.00g007540
Q7T0Q5 	 PGEN_.00g007610
Q5BK60 	 PGEN_.00g007620
Q32NG5 	 PGEN_.00g007630
Q96DM1 	 PGEN_.00g007640
P23727 	 PGEN_.00g007720
Q4UMH6 	 PGEN_.00g007750
Q0V9J0 	 PGEN_.00g007770
Q13351 	 PGEN_.00g007780
P53478 	 PGEN_.00g007860
P41340 	 PGEN_.00g007870
P12716 	 PGEN_.00g007880
Q0VE29 	 PGEN_.00g007930
Q7Z5L3 	 PGEN_.00g007940
Q9NQT5 	 PGEN_.00g007970
Q6DC04 	 PGEN_.00g007980
Q96MU7 	 PGEN_.00g008000
Q503V9 	 PGEN_.00g008010
Q29L80 	 PGEN_.00g008020
Q07598 	 PGEN_.00g008030
Q6KCD5 	 PGEN_.00g008040
Q8CFF0 	 PGEN_.00g008060
Q8CFF0 	 PGEN_.00g008070
Q9NQI0 	 PGEN_.00g008080
P16621 	 PGEN_.00g008130
Q920L7 	 PGEN_.00g008300
F6PTN1 	 PGEN_.00g008320
Q9NXG6 	 PGEN_.00g008350
Q9V6L0 	 PGEN_.00g008360
P62025 	 PGEN_.00g008370
Q501J7 	 PGEN_.00g008380
O08992 	 PGEN_.00g008390
Q04736 	 PGEN_.00g008400
B5X186 	 PGEN_.00g008430
O60306 	 PGEN_.00g008440
Q9VHI4 	 PGEN_.00g008470
Q7KIN0 	 PGEN_.00g008480
P18754 	 PGEN_.00g008490
Q0V8T9 	 PGEN_.00g008530
Q9R095 	 PGEN_.00g008540
Q8K4R9 	 PGEN_.00g008550
Q6DHN0 	 PGEN_.00g008570
A7MBF6 	 PGEN_.00g008580
Q8IWG1 	 PGEN_.00g008590
Q6DFK0 	 PGEN_.00g008600
Q27218 	 PGEN_.00g008610
Q9U298 	 PGEN_.00g008620
Q19425 	 PGEN_.00g008630
Q9D0F9 	 PGEN_.00g008640
Q60675 	 PGEN_.00g008660
Q9TUP7 	 PGEN_.00g008730
Q9UPN9 	 PGEN_.00g008750
Q9H8W5 	 PGEN_.00g008770
A4QNP7 	 PGEN_.00g008820
P27986 	 PGEN_.00g008850
F7E540 	 PGEN_.00g008860
O62742 	 PGEN_.00g008870
Q6PAY8 	 PGEN_.00g008880
Q58CY8 	 PGEN_.00g008960
Q99MV1 	 PGEN_.00g009010
Q8CDM1 	 PGEN_.00g009020
Q5VVB8 	 PGEN_.00g009030
Q7Z020 	 PGEN_.00g009100
P0C2B8 	 PGEN_.00g009110
Q7ZVT3 	 PGEN_.00g009130
Q8BYM5 	 PGEN_.00g009140
Q805A1 	 PGEN_.00g009280
Q8IY18 	 PGEN_.00g009290
P48380 	 PGEN_.00g009310
Q0Q029 	 PGEN_.00g009320
P55567 	 PGEN_.00g009330
P55203 	 PGEN_.00g009340
O35346 	 PGEN_.00g009370
Q9ESK9 	 PGEN_.00g009400
Q9ESK9 	 PGEN_.00g009410
Q96T60 	 PGEN_.00g009420
Q9JL19 	 PGEN_.00g009430
Q4R5L5 	 PGEN_.00g009440
O43614 	 PGEN_.00g009490
Q8BZ39 	 PGEN_.00g009510
Q28FY0 	 PGEN_.00g009550
Q3ZMH1 	 PGEN_.00g009590
Q6RG02 	 PGEN_.00g009610
Q6MK43 	 PGEN_.00g009640
Q3U034 	 PGEN_.00g009650
Q00438 	 PGEN_.00g009660
Q9UKP5 	 PGEN_.00g009670
Q9UKP5 	 PGEN_.00g009690
Q5F359 	 PGEN_.00g009700
P02707 	 PGEN_.00g009710
P48182 	 PGEN_.00g009720
B1AS42 	 PGEN_.00g009730
Q5M7W7 	 PGEN_.00g009750
Q7SIG4 	 PGEN_.00g009760
Q9D3D9 	 PGEN_.00g009770
P49790 	 PGEN_.00g009780
Q9BSF4 	 PGEN_.00g009850
Q5RBL0 	 PGEN_.00g009860
P28827 	 PGEN_.00g009870
Q12926 	 PGEN_.00g009880
Q13233 	 PGEN_.00g009900
Q5G266 	 PGEN_.00g009930
Q5PPX0 	 PGEN_.00g009940
Q9UGM3 	 PGEN_.00g009950
Q9BYK8 	 PGEN_.00g009970
Q9BYK8 	 PGEN_.00g009980
Q95K73 	 PGEN_.00g010010
Q4LDE5 	 PGEN_.00g010040
P0C6B8 	 PGEN_.00g010050
Q8BN82 	 PGEN_.00g010060
Q8HXQ4 	 PGEN_.00g010110
Q5ZIT8 	 PGEN_.00g010130
Q32PW3 	 PGEN_.00g010150
P07632 	 PGEN_.00g010160
Q99JR5 	 PGEN_.00g010200
P51167 	 PGEN_.00g010230
Q5UR67 	 PGEN_.00g010250
Q9UGU5 	 PGEN_.00g010420
B2GV87 	 PGEN_.00g010430
Q92551 	 PGEN_.00g010460
Q502M6 	 PGEN_.00g010480
Q9H074 	 PGEN_.00g010490
O75581 	 PGEN_.00g010610
O75581 	 PGEN_.00g010620
P46530 	 PGEN_.00g010630
A0A0R4IBK5 	 PGEN_.00g010640
A0A0R4IBK5 	 PGEN_.00g010660
A0A0R4IBK5 	 PGEN_.00g010670
A0A0R4IBK5 	 PGEN_.00g010680
E9Q555 	 PGEN_.00g010690
Q63HN8 	 PGEN_.00g010720
Q66JD1 	 PGEN_.00g010820
P00184 	 PGEN_.00g010830
Q9QYG6 	 PGEN_.00g010860
P00184 	 PGEN_.00g010870
Q06367 	 PGEN_.00g010890
O18809 	 PGEN_.00g010940
P49355 	 PGEN_.00g011040
P28574 	 PGEN_.00g011050
Q02290 	 PGEN_.00g011070
Q6EV77 	 PGEN_.00g011100
Q9BYC5 	 PGEN_.00g011110
Q8VHI3 	 PGEN_.00g011120
Q8CAT8 	 PGEN_.00g011130
O09101 	 PGEN_.00g011140
Q96L93 	 PGEN_.00g011150
B1AVY7 	 PGEN_.00g011160
Q4A3R3 	 PGEN_.00g011170
Q9Y3Q0 	 PGEN_.00g011190
P82147 	 PGEN_.00g011240
Q9Y2I6 	 PGEN_.00g011250
Q99999 	 PGEN_.00g011260
Q0VCH4 	 PGEN_.00g011270
Q6ZQ12 	 PGEN_.00g011280
Q8JHV9 	 PGEN_.00g011340
Q90660 	 PGEN_.00g011350
Q8JHV9 	 PGEN_.00g011360
Q90660 	 PGEN_.00g011370
Q9NJ15 	 PGEN_.00g011430
A0PA85 	 PGEN_.00g011490
Q9GLR0 	 PGEN_.00g011500
P29119 	 PGEN_.00g011530
Q9I9C3 	 PGEN_.00g011560
A8C752 	 PGEN_.00g011580
P48037 	 PGEN_.00g011620
Q8N841 	 PGEN_.00g011630
Q9GLR0 	 PGEN_.00g011660
Q9D565 	 PGEN_.00g011670
O54863 	 PGEN_.00g011680
Q3SZW1 	 PGEN_.00g011690
Q9UI42 	 PGEN_.00g011700
Q96PN7 	 PGEN_.00g011710
Q9H0D2 	 PGEN_.00g011720
Q9JKS6 	 PGEN_.00g011740
A1L2F3 	 PGEN_.00g011770
Q09225 	 PGEN_.00g011790
Q5E971 	 PGEN_.00g011800
Q03400 	 PGEN_.00g011830
P81282 	 PGEN_.00g011890
A0JPI9 	 PGEN_.00g011900
Q32PA9 	 PGEN_.00g011990
P19453 	 PGEN_.00g012040
P02740 	 PGEN_.00g012070
Q9P2P6 	 PGEN_.00g012120
Q5U2R3 	 PGEN_.00g012130
Q9Y253 	 PGEN_.00g012140
Q8IV61 	 PGEN_.00g012160
Q6P4F7 	 PGEN_.00g012180
Q17QC5 	 PGEN_.00g012190
P00184 	 PGEN_.00g012200
Q5EA79 	 PGEN_.00g012270
Q8K157 	 PGEN_.00g012280
Q0V9M0 	 PGEN_.00g012290
Q7QC84 	 PGEN_.00g012330
Q8VDQ8 	 PGEN_.00g012340
Q8IXJ6 	 PGEN_.00g012350
Q9DBM0 	 PGEN_.00g012360
P28663 	 PGEN_.00g012410
Q6GNT7 	 PGEN_.00g012420
Q5M9F5 	 PGEN_.00g012430
Q28G71 	 PGEN_.00g012460
Q9Y394 	 PGEN_.00g012470
A4IIU3 	 PGEN_.00g012500
Q4V622 	 PGEN_.00g012540
Q5U3N7 	 PGEN_.00g012580
Q9DCX1 	 PGEN_.00g012590
B3DL53 	 PGEN_.00g012610
Q53G44 	 PGEN_.00g012640
Q53G44 	 PGEN_.00g012650
Q6UNA4 	 PGEN_.00g012730
Q9UM73 	 PGEN_.00g012780
Q9NUC0 	 PGEN_.00g012840
Q04861 	 PGEN_.00g012860
Q5BL29 	 PGEN_.00g012870
Q99M87 	 PGEN_.00g012890
Q9H4F8 	 PGEN_.00g012910
Q9NNZ3 	 PGEN_.00g012980
Q8BMT9 	 PGEN_.00g013010
Q8NCM2 	 PGEN_.00g013020
O18965 	 PGEN_.00g013030
P16157 	 PGEN_.00g013040
Q69ZR2 	 PGEN_.00g013080
Q6DCX5 	 PGEN_.00g013130
Q9BQ04 	 PGEN_.00g013150
Q9DGJ3 	 PGEN_.00g013160
Q9DGJ3 	 PGEN_.00g013170
A6H791 	 PGEN_.00g013180
Q7SXW3 	 PGEN_.00g013200
P78504 	 PGEN_.00g013230
Q10741 	 PGEN_.00g013260
Q6IQ49 	 PGEN_.00g013270
A4IFB1 	 PGEN_.00g013290
Q9CZ15 	 PGEN_.00g013300
Q7ZY87 	 PGEN_.00g013310
Q17G75 	 PGEN_.00g013330
Q01205 	 PGEN_.00g013340
Q9CQE2 	 PGEN_.00g013350
A8K0R7 	 PGEN_.00g013370
L7UZ85 	 PGEN_.00g013380
Q8TBE0 	 PGEN_.00g013400
P97878 	 PGEN_.00g013420
Q7Z5L3 	 PGEN_.00g013430
P28841 	 PGEN_.00g013460
P51658 	 PGEN_.00g013490
Q8NBN7 	 PGEN_.00g013520
Q66HG4 	 PGEN_.00g013530
Q4JIJ3 	 PGEN_.00g013550
Q08DB5 	 PGEN_.00g013560
A2BDA5 	 PGEN_.00g013570
Q99NB1 	 PGEN_.00g013580
Q75VR0 	 PGEN_.00g013720
Q4V8C3 	 PGEN_.00g013740
Q63ZM9 	 PGEN_.00g013760
Q9CXC3 	 PGEN_.00g013770
O93403 	 PGEN_.00g013780
Q58CV6 	 PGEN_.00g013790
P02637 	 PGEN_.00g013800
P02637 	 PGEN_.00g013810
Q8CCG1 	 PGEN_.00g013820
Q9UHC1 	 PGEN_.00g013830
Q9MYP6 	 PGEN_.00g013840
P33527 	 PGEN_.00g013860
O88563 	 PGEN_.00g013870
Q80TN7 	 PGEN_.00g013900
Q01112 	 PGEN_.00g013910
F1NZI4 	 PGEN_.00g013920
Q20930 	 PGEN_.00g013930
Q68CQ4 	 PGEN_.00g013950
Q8C2Q3 	 PGEN_.00g013960
P68081 	 PGEN_.00g013980
A2AVA0 	 PGEN_.00g013990
A6QLH6 	 PGEN_.00g014010
O95861 	 PGEN_.00g014020
Q25011 	 PGEN_.00g014050
Q708S3 	 PGEN_.00g014060
P24329 	 PGEN_.00g014080
Q9DBT3 	 PGEN_.00g014100
Q8BGF3 	 PGEN_.00g014110
Q96M32 	 PGEN_.00g014120
Q566R4 	 PGEN_.00g014130
O15040 	 PGEN_.00g014140
Q6P7Q4 	 PGEN_.00g014150
P50748 	 PGEN_.00g014160
A4SG26 	 PGEN_.00g014170
Q5RCW2 	 PGEN_.00g014180
Q8CFC7 	 PGEN_.00g014210
Q9H165 	 PGEN_.00g014240
Q8AVH4 	 PGEN_.00g014250
Q8NA03 	 PGEN_.00g014260
Q3SYK4 	 PGEN_.00g014280
P16537 	 PGEN_.00g014350
P13135 	 PGEN_.00g014360
Q11002 	 PGEN_.00g014370
P54923 	 PGEN_.00g014380
Q9D805 	 PGEN_.00g014400
P18172 	 PGEN_.00g014410
P18172 	 PGEN_.00g014420
P18173 	 PGEN_.00g014430
Q95LC6 	 PGEN_.00g014440
Q29HY3 	 PGEN_.00g014450
Q9UBV2 	 PGEN_.00g014470
P58307 	 PGEN_.00g014560
Q8VE97 	 PGEN_.00g014610
Q9ULG1 	 PGEN_.00g014620
Q6ZPV2 	 PGEN_.00g014630
P10041 	 PGEN_.00g014650
Q9W4V8 	 PGEN_.00g014690
Q4LDG9 	 PGEN_.00g014700
Q8T888 	 PGEN_.00g014720
P61917 	 PGEN_.00g014740
Q9VCG3 	 PGEN_.00g014760
Q8MQW8 	 PGEN_.00g014780
Q2TGI8 	 PGEN_.00g014790
Q6NXA9 	 PGEN_.00g014800
E7FDW2 	 PGEN_.00g014810
Q8N806 	 PGEN_.00g014820
Q2JVA4 	 PGEN_.00g014830
Q5RKZ7 	 PGEN_.00g014860
Q5U239 	 PGEN_.00g014970
Q92994 	 PGEN_.00g014980
P58545 	 PGEN_.00g014990
Q8CFK2 	 PGEN_.00g015000
Q80TF4 	 PGEN_.00g015010
Q4WPP6 	 PGEN_.00g015020
O55096 	 PGEN_.00g015030
Q6NUX0 	 PGEN_.00g015040
Q7L622 	 PGEN_.00g015050
O14618 	 PGEN_.00g015070
Q9YGL1 	 PGEN_.00g015080
Q5F3K0 	 PGEN_.00g015120
Q99698 	 PGEN_.00g015130
Q2NKU6 	 PGEN_.00g015140
Q2T9V5 	 PGEN_.00g015150
Q5E9A7 	 PGEN_.00g015170
Q6INC8 	 PGEN_.00g015190
A1ZAI5 	 PGEN_.00g015200
Q0IID7 	 PGEN_.00g015220
Q9NPB0 	 PGEN_.00g015290
Q9SKX5 	 PGEN_.00g015300
Q14746 	 PGEN_.00g015310
A6QNR1 	 PGEN_.00g015320
Q9VFJ2 	 PGEN_.00g015330
O13046 	 PGEN_.00g015340
P13908 	 PGEN_.00g015350
Q0VC91 	 PGEN_.00g015360
Q9JHB5 	 PGEN_.00g015370
P16230 	 PGEN_.00g015380
P04464 	 PGEN_.00g015400
P25071 	 PGEN_.00g015410
Q5TYP8 	 PGEN_.00g015420
P08842 	 PGEN_.00g015430
P08842 	 PGEN_.00g015440
Q2EMV9 	 PGEN_.00g015490
Q49B93 	 PGEN_.00g015530
Q9VFB2 	 PGEN_.00g015550
Q49B93 	 PGEN_.00g015570
A0A0F7YZI5 	 PGEN_.00g015590
A0A0F7Z3J2 	 PGEN_.00g015600
Q4UMH6 	 PGEN_.00g015630
Q8L706 	 PGEN_.00g015680
Q3V3N7 	 PGEN_.00g015730
A0JPI9 	 PGEN_.00g015740
B3EWZ6 	 PGEN_.00g015750
Q5VYJ5 	 PGEN_.00g015760
Q5RBN9 	 PGEN_.00g015770
Q868Z9 	 PGEN_.00g015780
Q9UKP4 	 PGEN_.00g015800
O76840 	 PGEN_.00g015820
Q4VC17 	 PGEN_.00g015830
P52655 	 PGEN_.00g015860
Q00963 	 PGEN_.00g015870
Q9NRC6 	 PGEN_.00g015880
P43147 	 PGEN_.00g015900
P24153 	 PGEN_.00g015910
P14756 	 PGEN_.00g015920
Q9CWM2 	 PGEN_.00g015940
Q08CA1 	 PGEN_.00g015970
B6NXD5 	 PGEN_.00g015980
Q2NKS2 	 PGEN_.00g015990
