all_GO_ids	gene
	PGEN_.00g000280
GO:0005737;GO:0046872;GO:0016740;GO:0007219;GO:0016567	PGEN_.00g000300
GO:0005737;GO:0005634;GO:0003677;GO:0071949;GO:0009881;GO:0032922;GO:0007623;GO:0043153;GO:0042754;GO:0045892;GO:0018298;GO:0042752;GO:0009416	PGEN_.00g000380
GO:0030686;GO:0001650;GO:0016020;GO:0005739;GO:0005730;GO:0005654;GO:0032040;GO:0034455;GO:0003723;GO:0030515;GO:0000462;GO:2000234;GO:0045943	PGEN_.00g000440
GO:0005634;GO:0003677;GO:0042393;GO:0070122;GO:0046872;GO:0140492;GO:0004843;GO:0003713;GO:0006338;GO:0035522;GO:0045944	PGEN_.00g000450
GO:0030424;GO:0098978;GO:0030426;GO:0005887;GO:0099056;GO:0043005;GO:0005886;GO:0014069;GO:0042734;GO:0045202;GO:0030246;GO:0050839;GO:0004930;GO:0016524;GO:0015643;GO:0007189;GO:0007420;GO:0035584;GO:0007166;GO:0007157;GO:0051965;GO:0090129	PGEN_.00g000460
GO:0044875;GO:0005506;GO:0004497	PGEN_.00g000490
GO:0005829;GO:0005779;GO:0016020;GO:1990429;GO:0005778;GO:0005777;GO:0021795;GO:0001561;GO:0007626;GO:0060152;GO:0001764;GO:0016560;GO:0001967	PGEN_.00g000520
GO:0022627;GO:0005815;GO:0032040;GO:0003735;GO:0042274;GO:0006364;GO:0006412	PGEN_.00g000530
GO:0005694;GO:0005925;GO:0016604;GO:0005654;GO:0005634;GO:0070975;GO:0008022;GO:0006281;GO:0031573	PGEN_.00g000540
GO:0016021;GO:0005743;GO:0055085	PGEN_.00g000560
GO:0005783;GO:0005794;GO:0000325;GO:0009536;GO:0099503;GO:0046872;GO:0009045;GO:0042843	PGEN_.00g000600
GO:0005783;GO:0030176;GO:0016491;GO:0102758;GO:0030497;GO:0006665;GO:0006694;GO:0042761	PGEN_.00g000660
	PGEN_.00g000670
GO:0005759;GO:0005739;GO:0051213;GO:0046872;GO:0006974;GO:0006631;GO:0010883;GO:1902445	PGEN_.00g000680
GO:0018576;GO:0018575;GO:0008199;GO:0019439;GO:0009712	PGEN_.00g000730
GO:0018576;GO:0008199;GO:0005506;GO:0016702;GO:0019615;GO:0019614;GO:0009712	PGEN_.00g000740
GO:0016282;GO:0033290;GO:0005852;GO:0071540;GO:0005634;GO:0003743;GO:0001732;GO:0006413	PGEN_.00g000750
GO:0005813;GO:0005929;GO:0031410;GO:0030992;GO:0005634;GO:0048487;GO:0003682;GO:0060271;GO:0007368;GO:0008544;GO:0007507;GO:0042073;GO:0035735;GO:0003334;GO:0050680;GO:1905515;GO:0007219;GO:0033630;GO:0045944	PGEN_.00g000760
GO:0016021;GO:0044306;GO:0043025;GO:0031965;GO:0005886;GO:0004957;GO:0007189;GO:0007188;GO:0060348;GO:0071260;GO:0071380;GO:0042466;GO:0097070;GO:0070371;GO:0006954;GO:0007254;GO:0042322;GO:0001818;GO:1904336;GO:1904471;GO:2000420;GO:0010727;GO:0050728;GO:0033624;GO:0032690;GO:0051771;GO:0002792;GO:1904348;GO:0032720;GO:2000388;GO:0045780;GO:1904364;GO:0043950;GO:0045785;GO:0008284;GO:1904367;GO:0046010;GO:0001819;GO:0007204;GO:0010628;GO:1900127;GO:0050729;GO:0032733;GO:0032757;GO:1904466;GO:0070257;GO:2000391;GO:0045778;GO:0045669;GO:2000386;GO:0001934;GO:0050714;GO:0035815;GO:0014911;GO:1904460;GO:1904496;GO:0042531;GO:0035810;GO:0090303;GO:0010840;GO:0030278;GO:0051492;GO:0032496;GO:0042093	PGEN_.00g000770
GO:0016324;GO:0042583;GO:0005615;GO:0005764;GO:0004197;GO:0048002;GO:0043373;GO:0030574;GO:0060309;GO:0034230;GO:0016540;GO:0046718;GO:0031638	PGEN_.00g000790
GO:0005581;GO:0005615;GO:0042802;GO:0070373;GO:0045599;GO:0048147	PGEN_.00g000800
GO:0005581;GO:0005615;GO:0042802;GO:0070373;GO:0045599;GO:0048147	PGEN_.00g000820
GO:0005576;GO:0050660;GO:0016491;GO:0016614;GO:0006006;GO:0008364;GO:0046693	PGEN_.00g000890
GO:0009986;GO:0005783;GO:0016021;GO:0005739;GO:0005634;GO:0005886;GO:0007160;GO:0040008;GO:0007346	PGEN_.00g000900
GO:0005887;GO:0005765;GO:0005886;GO:0004623;GO:0006629	PGEN_.00g000910
GO:0005730;GO:0008023;GO:0046872;GO:0000993;GO:0006368	PGEN_.00g000920
GO:0000781;GO:0070522;GO:0000110;GO:0005634;GO:1990599;GO:0003684;GO:0042802;GO:1990841;GO:0008022;GO:0047485;GO:0003697;GO:0001094;GO:0034644;GO:0000724;GO:0006303;GO:1905768;GO:1905765;GO:0032205;GO:1904357;GO:0006289;GO:0033683;GO:0006295;GO:0006296;GO:0010506;GO:0009411;GO:0061819;GO:0009650	PGEN_.00g000930
GO:0005581;GO:0070062;GO:0005615;GO:0016020;GO:0042802;GO:0035356;GO:0045444;GO:0010629;GO:0045721;GO:0050728;GO:0032715;GO:0071638;GO:1901223;GO:0070165;GO:0001819	PGEN_.00g000940
GO:0000781;GO:0070522;GO:0000110;GO:0005634;GO:1990599;GO:0003684;GO:0042802;GO:1990841;GO:0008022;GO:0047485;GO:0003697;GO:0001094;GO:0034644;GO:0000724;GO:0006303;GO:1905768;GO:1905765;GO:0032205;GO:1904357;GO:0006289;GO:0033683;GO:0006295;GO:0006296;GO:0010506;GO:0009411;GO:0061819;GO:0009650	PGEN_.00g000950
GO:0005634	PGEN_.00g000960
GO:0016021;GO:0043231;GO:0005743;GO:0005739;GO:0005782;GO:0005778;GO:0005777;GO:0140359;GO:0047617;GO:0005524;GO:0016887;GO:0042626;GO:0005324;GO:0042803;GO:0043621;GO:0015721;GO:0006699;GO:0006635;GO:0006633;GO:0006869;GO:0015910;GO:0007031;GO:1903512;GO:0014070;GO:0009410;GO:0042760;GO:0000038	PGEN_.00g000970
GO:0005813;GO:0005737;GO:0042405;GO:0005654;GO:0000786;GO:0005634;GO:0035861;GO:0044877;GO:0031625;GO:0006974;GO:0006281;GO:2000781;GO:0034184;GO:0031334;GO:1990166	PGEN_.00g000980
GO:0005634;GO:0003676	PGEN_.00g001000
GO:0031225;GO:0016324;GO:0016323;GO:0060170;GO:0005929;GO:0005576;GO:0000922;GO:0005509	PGEN_.00g001010
GO:0009986;GO:0005576;GO:0005102;GO:0048856	PGEN_.00g001020
GO:0005737;GO:0005829;GO:0070062;GO:0140535;GO:0016020;GO:0005739;GO:0005654;GO:0005634;GO:0030018;GO:0005524;GO:0030275;GO:0000287;GO:0002039;GO:0030295;GO:0106310;GO:0004674;GO:0004712;GO:0044877;GO:0032147;GO:0043276;GO:0006914;GO:0007409;GO:0060070;GO:0006974;GO:0071493;GO:0097484;GO:0030010;GO:0070314;GO:0042593;GO:0051645;GO:0072332;GO:0090090;GO:0030308;GO:0008285;GO:0120163;GO:0060770;GO:1904262;GO:0018107;GO:0010508;GO:0050772;GO:0045722;GO:1900182;GO:0030511;GO:1901610;GO:0045059;GO:0046777;GO:0006470;GO:0006468;GO:0051726;GO:0001558;GO:0048814;GO:0051896;GO:1901796;GO:0014823;GO:0033762;GO:0010212;GO:0033993;GO:0097066;GO:0007283;GO:0050852;GO:0001894;GO:0001944	PGEN_.00g001030
GO:0004066;GO:0006529;GO:0006541	PGEN_.00g001040
GO:0005789;GO:0016021;GO:0042281;GO:0006488;GO:0006490;GO:0006487	PGEN_.00g001080
GO:0016021;GO:0016020;GO:0097225	PGEN_.00g001120
GO:0005673;GO:0003677;GO:0006367	PGEN_.00g001130
GO:0005891;GO:0005245	PGEN_.00g001140
GO:0008460;GO:0009225;GO:0006486;GO:0045232	PGEN_.00g001150
GO:0005737;GO:0098592;GO:0005634;GO:0000981;GO:0001227;GO:0005543;GO:0000978;GO:0048749;GO:0016197;GO:0048132;GO:0008586;GO:0006886;GO:0000281;GO:0045746;GO:0007219;GO:0006357;GO:0007423;GO:0045035;GO:0007472	PGEN_.00g001170
GO:0030424;GO:0005911;GO:0098978;GO:0016021;GO:0005887;GO:0005509;GO:0030246;GO:0004930;GO:0007189;GO:0007420;GO:0007166;GO:0098742;GO:0007186;GO:0001764;GO:0007416	PGEN_.00g001190
GO:0005737;GO:0005829;GO:0070618;GO:0016020;GO:0005654;GO:0005634;GO:0032991;GO:0003677;GO:0042802;GO:0003729;GO:0008143;GO:0008266;GO:0019904;GO:1990782;GO:0044877;GO:0003723;GO:0042169;GO:0017124;GO:0035591;GO:0000082;GO:0000086;GO:0006397;GO:0000122;GO:0045892;GO:0046833;GO:0045948;GO:0000381;GO:0048024;GO:0046831;GO:0007283;GO:0050852	PGEN_.00g001200
GO:0000781;GO:0000228;GO:0005654;GO:0005524;GO:0003677;GO:0003918;GO:0016787;GO:0046872;GO:1990918;GO:0007129;GO:0007141;GO:0042138;GO:0000706;GO:0045141;GO:0048477;GO:0001541;GO:0034502;GO:0007131;GO:0007286;GO:0007130	PGEN_.00g001210
GO:0005576;GO:0008289;GO:0005319;GO:0016055	PGEN_.00g001350
GO:0012505;GO:0005789;GO:0016021;GO:0005739;GO:0005635;GO:0003841;GO:0016746;GO:0006639;GO:0016024;GO:0002244	PGEN_.00g001390
GO:0016021;GO:0005524;GO:0106310;GO:0004674;GO:0004712	PGEN_.00g001410
GO:0005737;GO:0005783;GO:0005789;GO:0043231;GO:0008405;GO:0008404;GO:0008392;GO:0008391;GO:0070330;GO:0020037;GO:0005506;GO:0016853;GO:0071614;GO:0003958;GO:0016712;GO:0008395;GO:0019369;GO:0019373;GO:0006690;GO:0043651;GO:0032966;GO:0035359;GO:0006082;GO:0032760;GO:0001523;GO:0006805	PGEN_.00g001440
GO:0005789;GO:0070330;GO:0101020;GO:0101021;GO:0020037;GO:0106256;GO:0005506;GO:0019369;GO:0008203;GO:0008210;GO:0042572	PGEN_.00g001450
GO:0005737;GO:0005783;GO:0031965;GO:0005886;GO:0004622;GO:0008474;GO:0004620;GO:0006631;GO:0002084	PGEN_.00g001480
GO:0005737;GO:0046872;GO:0019902;GO:0031593;GO:0003723;GO:0061630;GO:0004842;GO:0000209	PGEN_.00g001500
GO:0042995;GO:0005737;GO:0005634;GO:0005524;GO:0106310;GO:0004674;GO:0004712;GO:0010564	PGEN_.00g001510
GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	PGEN_.00g001520
GO:0005576;GO:0016020;GO:0004063;GO:0004064;GO:0046872	PGEN_.00g001540
GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	PGEN_.00g001560
GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	PGEN_.00g001590
GO:0031672;GO:0016324;GO:0016323;GO:0043034;GO:0005856;GO:0005829;GO:0005769;GO:0014704;GO:0005764;GO:0031430;GO:0045121;GO:0005739;GO:0043005;GO:0005886;GO:0045211;GO:0055037;GO:0042383;GO:0030315;GO:0030018;GO:0051117;GO:0008093;GO:0019899;GO:0140031;GO:0019901;GO:0030674;GO:0030507;GO:0005200;GO:0044325;GO:0086014;GO:0086066;GO:0003283;GO:0006874;GO:0034613;GO:0006897;GO:0086046;GO:0030913;GO:1901021;GO:0051928;GO:2001259;GO:0010628;GO:1901018;GO:0043268;GO:0034394;GO:0070972;GO:0036309;GO:0033365;GO:0072659;GO:0036371;GO:0050821;GO:0015031;GO:0098910;GO:1901019;GO:0051924;GO:0086004;GO:0055117;GO:0010882;GO:0010881;GO:0002027;GO:0086091;GO:0031647;GO:0051279;GO:0098907;GO:0060307;GO:0051597;GO:0086015;GO:0086070;GO:0070296;GO:0033292;GO:0086005	PGEN_.00g001600
GO:0005737;GO:0016020;GO:0005524;GO:0106310;GO:0004674;GO:0004712;GO:0002009;GO:0051092	PGEN_.00g001610
GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	PGEN_.00g001620
GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	PGEN_.00g001630
GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	PGEN_.00g001640
GO:0005789;GO:0016021;GO:0005811;GO:0003854;GO:0047016;GO:0016616;GO:0035754;GO:0006699	PGEN_.00g001660
GO:0030666;GO:0016021;GO:0005886;GO:0030169;GO:0005044;GO:0004888;GO:0007155;GO:0006707;GO:0016358;GO:0016322;GO:0048680;GO:0010976;GO:0006898	PGEN_.00g001670
GO:0005829;GO:0005096;GO:0090630;GO:0006886	PGEN_.00g001690
GO:0005737;GO:0005851;GO:0005524;GO:0005525;GO:0003743;GO:0007417;GO:0042552;GO:0014003;GO:0050790;GO:0050852;GO:0006413	PGEN_.00g001700
GO:0005634;GO:0003700;GO:0046872;GO:0000978;GO:0006357	PGEN_.00g001720
GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005634;GO:0048471;GO:0045296;GO:0003730;GO:0043022;GO:0003723;GO:0032183;GO:0030578;GO:0043488	PGEN_.00g001730
GO:0005654;GO:0016278;GO:0032259;GO:1901796	PGEN_.00g001740
GO:0005929;GO:0005737;GO:0005868;GO:0120293;GO:0045505;GO:0060271;GO:0035721;GO:0007018;GO:1902017;GO:1905799	PGEN_.00g001750
GO:0005737;GO:0005868;GO:0045505;GO:0007018	PGEN_.00g001760
GO:0005788;GO:0009055;GO:0019153;GO:0051607	PGEN_.00g001770
GO:0071013;GO:0016607;GO:0005730;GO:0005654;GO:0005634;GO:0031499;GO:0005524;GO:0016887;GO:0003723;GO:0003724;GO:0006974;GO:0000460;GO:0000398;GO:0006401;GO:0006364;GO:0016076	PGEN_.00g001780
GO:0030424;GO:0016021;GO:0005886;GO:0045202;GO:0007155	PGEN_.00g001800
GO:0062023;GO:0005576;GO:0005509	PGEN_.00g001820
GO:0005576;GO:0016021;GO:0005520;GO:0004867;GO:0001568;GO:0048570;GO:0001756	PGEN_.00g001870
GO:0005912;GO:0005911;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005829;GO:0036038;GO:0097730;GO:0042802;GO:0034613;GO:0007417;GO:0060271;GO:0035844;GO:0001947;GO:0030902;GO:0070121;GO:0070986;GO:0001738;GO:0043066;GO:0071599;GO:0035845;GO:0030862;GO:0002092;GO:0045944;GO:0039023;GO:0039008;GO:0050795;GO:0010842;GO:0065001;GO:0007169;GO:0016192	PGEN_.00g001880
GO:0005912;GO:0005911;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005737;GO:0036038;GO:0097730;GO:0120206;GO:0001750;GO:0042802;GO:0034613;GO:0007417;GO:0060271;GO:0035844;GO:1990403;GO:0042462;GO:0001947;GO:0030902;GO:0070121;GO:0070986;GO:0001738;GO:0043066;GO:0046325;GO:1905515;GO:0071599;GO:0035845;GO:0010628;GO:0045927;GO:0010976;GO:0030862;GO:0002092;GO:0045944;GO:0039023;GO:0039008;GO:0033365;GO:0050795;GO:0050708;GO:0032094;GO:0060041;GO:0010842;GO:0046549;GO:0046548;GO:0065001;GO:0021510;GO:0007169;GO:0006903;GO:0016192	PGEN_.00g001890
GO:0005905;GO:0030136;GO:0005737;GO:0005886;GO:0098835;GO:0042802;GO:0035091;GO:0005546;GO:0001786;GO:0048268;GO:0072583;GO:0010324;GO:0072659;GO:0048488	PGEN_.00g001900
GO:0031012;GO:0005615;GO:0016021;GO:0005886;GO:0007339;GO:0098609	PGEN_.00g001910
GO:0005905;GO:0030136;GO:0005737;GO:0005829;GO:0005886;GO:0098835;GO:0042802;GO:0035091;GO:0005546;GO:0001786;GO:0048268;GO:0072583;GO:0010324;GO:0072659;GO:0048488	PGEN_.00g001920
GO:0005634;GO:0046872;GO:0046983;GO:0006355	PGEN_.00g001930
GO:0005829;GO:0005654;GO:0005634;GO:0004197;GO:0004843;GO:0016579;GO:0006511	PGEN_.00g001940
GO:0005829;GO:0005654;GO:0005634;GO:0004197;GO:0004843;GO:0016579;GO:0006511	PGEN_.00g001950
GO:0005829;GO:0005654;GO:0005634;GO:0004197;GO:0004843;GO:0016579;GO:0006511	PGEN_.00g001960
GO:0005952;GO:0005813;GO:0097546;GO:0005829;GO:0070062;GO:0005654;GO:0005634;GO:0005886;GO:0004679;GO:0005524;GO:0004691;GO:0000287;GO:0106310;GO:0004674;GO:0004712;GO:0031625;GO:0007188;GO:0034380;GO:1901621;GO:0001843;GO:0010737;GO:0006468;GO:0070613;GO:0003091;GO:0007165	PGEN_.00g001990
GO:0005576;GO:0016787;GO:0016042	PGEN_.00g002050
GO:0005576;GO:0016787;GO:0016042	PGEN_.00g002060
GO:0005576;GO:0016787;GO:0016042	PGEN_.00g002070
GO:0005834;GO:0031681;GO:0045176;GO:0055059;GO:0061343;GO:0060027;GO:0007391;GO:0035050;GO:0003380;GO:0007186;GO:0003015;GO:0048383;GO:0007637;GO:0010470;GO:0043519	PGEN_.00g002100
GO:0016021;GO:0045499;GO:0030215;GO:0048675;GO:0007411;GO:0050908;GO:0048843;GO:0001755;GO:1990138;GO:0097485;GO:0030335;GO:0071526	PGEN_.00g002120
GO:0030424;GO:0045178;GO:0005925;GO:0030426;GO:0043005;GO:0005085;GO:0031267;GO:0090630;GO:0007409;GO:0045200;GO:0022027;GO:0000226;GO:0120163;GO:0031175;GO:0033138;GO:1904754;GO:0050767;GO:0007264	PGEN_.00g002130
GO:0000785;GO:0005737;GO:0005654;GO:0061630;GO:0004842;GO:0008270;GO:0051607;GO:0045087;GO:0032728;GO:0045893;GO:0070534;GO:0034340	PGEN_.00g002140
GO:0005887;GO:0005886;GO:0005524;GO:0005525;GO:0004383;GO:0001653;GO:0038023;GO:0006182;GO:0019934;GO:0006468;GO:0007168;GO:0007165	PGEN_.00g002150
GO:0070451;GO:0005737;GO:0005576;GO:0048067;GO:0048065;GO:0042438;GO:0048082	PGEN_.00g002160
GO:0070451;GO:0005737;GO:0005576;GO:0048067;GO:0048065;GO:0042438;GO:0048082	PGEN_.00g002170
GO:0016021;GO:0005886;GO:0004930	PGEN_.00g002180
GO:0005887;GO:0004930;GO:0004983;GO:1901653;GO:0007186	PGEN_.00g002190
GO:0005929;GO:0005887;GO:0097730;GO:0005886;GO:0005246;GO:0004983;GO:0001601;GO:0038023;GO:0007193;GO:0003214;GO:0007626;GO:0003151	PGEN_.00g002200
GO:0034451;GO:0005813;GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0000242;GO:0071889;GO:0005524;GO:0016301;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0004713;GO:0007049;GO:0051301;GO:0060271;GO:0006468	PGEN_.00g002210
GO:0005634;GO:0003677;GO:0001228;GO:0003700;GO:0042803;GO:0000978;GO:0043565;GO:0040003;GO:0008362;GO:0003382;GO:0008543;GO:0007402;GO:0061024;GO:0007399;GO:0007424;GO:0045944;GO:0007464;GO:0042127;GO:0050767;GO:0006357;GO:0035159;GO:0061041;GO:0042052;GO:0007426;GO:0007419	PGEN_.00g002230
GO:0016021;GO:0005887;GO:0008528;GO:0004930;GO:0008188;GO:0007186	PGEN_.00g002270
GO:0005576;GO:0044594;GO:0072582;GO:0072555;GO:0000253;GO:0102176;GO:0000166;GO:0006703	PGEN_.00g002290
GO:0005576;GO:0044594;GO:0072582;GO:0072555;GO:0000253;GO:0102176;GO:0000166;GO:0006703	PGEN_.00g002300
GO:0005737;GO:0005634;GO:0004059;GO:0004060;GO:0008080;GO:0006584;GO:0007593;GO:0042420;GO:0030187;GO:0046334;GO:0045187;GO:0042429;GO:0030431	PGEN_.00g002330
GO:0005829;GO:0005783;GO:0005794;GO:0043231;GO:0005811;GO:0005525;GO:0003924;GO:0042802;GO:0042803;GO:0046039	PGEN_.00g002360
GO:0048471;GO:0019905;GO:0004842;GO:0043161	PGEN_.00g002400
GO:0005737;GO:0000118;GO:0005634;GO:0017053;GO:0003682;GO:0140297;GO:0004407;GO:0032041;GO:0003714;GO:0006325;GO:0032922;GO:0070932;GO:0070933;GO:0000122;GO:0045944;GO:0042752	PGEN_.00g002420
	PGEN_.00g002430
GO:0020037;GO:0005506;GO:0004497;GO:0016705	PGEN_.00g002440
GO:0005737;GO:0005829;GO:0043231;GO:0016607;GO:0005654;GO:0005634;GO:0000151;GO:0002039;GO:0042803;GO:0005102;GO:0061630;GO:0008270;GO:0032436;GO:0031398;GO:0051865;GO:0016567;GO:0006511	PGEN_.00g002460
GO:0005829;GO:0016607;GO:0031422;GO:0003677;GO:0006281;GO:0006260;GO:0000724;GO:0043007;GO:2000042;GO:0033045;GO:0071139	PGEN_.00g002470
GO:0005737;GO:0005634;GO:0061608;GO:0008139;GO:0031267;GO:0006606	PGEN_.00g002480
GO:0005654;GO:0008296;GO:0046872	PGEN_.00g002490
GO:0005881;GO:0005789;GO:0016021;GO:0006915	PGEN_.00g002500
GO:0005938;GO:0032154;GO:0046872	PGEN_.00g002510
GO:0005783;GO:0005789;GO:0016021;GO:0046872;GO:0008235;GO:0034599;GO:0030968;GO:0001541;GO:0006508	PGEN_.00g002520
GO:0005796;GO:0008467;GO:0008146;GO:0006024	PGEN_.00g002610
GO:0016021;GO:0005886;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601	PGEN_.00g002640
GO:0000785;GO:0005737;GO:0005654;GO:0003677;GO:0006281;GO:2000042	PGEN_.00g002650
GO:0031225;GO:0031012;GO:0065010;GO:0005758;GO:0031966;GO:0005886;GO:0043262;GO:0004035;GO:0016887;GO:0005509;GO:0004427;GO:0050187;GO:0052732;GO:0033883;GO:0016462;GO:0031214;GO:0030282;GO:0071407;GO:0016311;GO:0003006;GO:0001958;GO:0120162;GO:0042822;GO:0046677;GO:0033280	PGEN_.00g002680
GO:0030895;GO:0005737;GO:0005783;GO:0003727;GO:0016556;GO:0006397;GO:0050821	PGEN_.00g002690
GO:0016020;GO:0072380;GO:0060090;GO:0006620;GO:0030433	PGEN_.00g002700
GO:0005654;GO:0003723;GO:0000398	PGEN_.00g002710
GO:0005737;GO:0030060;GO:0006099	PGEN_.00g002720
GO:0005739;GO:0047536;GO:0016212;GO:0030170;GO:0008483;GO:0006103;GO:1901605;GO:0009058;GO:0006536;GO:0070189;GO:0033512	PGEN_.00g002730
GO:0005930;GO:0005813;GO:0000775;GO:0036064;GO:0097539;GO:0005737;GO:0005829;GO:0000776;GO:0030496;GO:0005635;GO:0016363;GO:0005654;GO:0005634;GO:0000940;GO:0048471;GO:0045120;GO:0005819;GO:0000922;GO:0003682;GO:0140297;GO:0070840;GO:0008017;GO:0008022;GO:0042803;GO:0030154;GO:0051301;GO:0007059;GO:0071897;GO:0001822;GO:0051382;GO:0051310;GO:0000278;GO:0007094;GO:0007517;GO:0045892;GO:0015031;GO:0010389;GO:0016202;GO:0009410;GO:0021591	PGEN_.00g002750
GO:0015030;GO:0005737;GO:0016604;GO:0016607;GO:0005730;GO:0005654;GO:0000175;GO:0046872;GO:0004535;GO:0003723;GO:0017069;GO:0090503;GO:0034472	PGEN_.00g002760
GO:0016021;GO:0016020;GO:0005886;GO:1902742;GO:0043652;GO:0070782	PGEN_.00g002770
GO:0043034;GO:0005829;GO:0043231;GO:0031430;GO:0016607;GO:0005634;GO:0048471;GO:0005886;GO:0016529;GO:0042802;GO:0070885;GO:0032515;GO:0014733	PGEN_.00g002820
