,Count,Percent,Term,go_terms
GO:0009058,13,2.46212121212121,biosynthetic process,GO:0006353;GO:0006386;GO:0006048;GO:0006231;GO:0006432;GO:0009107;GO:0009226;GO:0009298;GO:0031591;GO:0042398;GO:0046349;GO:1903966;GO:1990145
GO:0009790,2,0.378787878787879,embryo development,GO:0001843;GO:0060670
GO:0015031,9,1.70454545454545,protein transport,GO:0035547;GO:0035549;GO:0050707;GO:0050715;GO:1902739;GO:1902741;GO:1904467;GO:1904469;GO:2000778
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,2,0.378787878787879,developmental maturation,GO:0010162;GO:0010231
GO:0022607,0,0,cellular component assembly,
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,4,0.757575757575758,cell differentiation,GO:0010831;GO:0045687;GO:0090628;GO:1901741
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellula...,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,72,13.6363636363636,cellular nitrogen compound metaboli...,GO:0000154;GO:0000375;GO:0000377;GO:0000394;GO:0000398;GO:0000494;GO:0006353;GO:0006386;GO:0006047;GO:0006048;GO:0006096;GO:0006139;GO:0006144;GO:0006163;GO:0006165;GO:0006231;GO:0006265;GO:0006364;GO:0006388;GO:0006396;GO:0006397;GO:0006399;GO:0006432;GO:0006753;GO:0006757;GO:0008033;GO:0008380;GO:0009117;GO:0009123;GO:0009126;GO:0009132;GO:0009135;GO:0009144;GO:0009150;GO:0009161;GO:0009167;GO:0009179;GO:0009185;GO:0009205;GO:0009225;GO:0009226;GO:0009259;GO:0009298;GO:0009451;GO:0015949;GO:0015950;GO:0015951;GO:0016070;GO:0016071;GO:0016072;GO:0019362;GO:0019660;GO:0019664;GO:0031167;GO:0031591;GO:0033967;GO:0034470;GO:0034660;GO:0034963;GO:0043603;GO:0043605;GO:0046031;GO:0046034;GO:0046073;GO:0046496;GO:0055086;GO:0070476;GO:0070934;GO:0072521;GO:0072524;GO:1990145
GO:0034655,1,0.189393939393939,nucleobase-containing compound cata...,GO:0070934
GO:0040007,2,0.378787878787879,growth,GO:0010075;GO:0010082
GO:0040011,2,0.378787878787879,locomotion,GO:0010634;GO:0060327
GO:0042254,4,0.757575757575758,ribosome biogenesis,GO:0000154;GO:0006364;GO:0031167;GO:0070476
GO:0042592,2,0.378787878787879,homeostatic process,GO:0045454;GO:0099093
GO:0043473,0,0,pigmentation,
GO:0044281,55,10.4166666666667,small molecule metabolic process,GO:0006082;GO:0006083;GO:0006089;GO:0006090;GO:0006096;GO:0006097;GO:0006099;GO:0006101;GO:0006105;GO:0006107;GO:0006108;GO:0006144;GO:0006163;GO:0006165;GO:0006231;GO:0006432;GO:0006753;GO:0006757;GO:0009106;GO:0009107;GO:0009117;GO:0009123;GO:0009126;GO:0009132;GO:0009135;GO:0009144;GO:0009150;GO:0009161;GO:0009167;GO:0009179;GO:0009185;GO:0009205;GO:0009259;GO:0015942;GO:0015949;GO:0015950;GO:0015951;GO:0019362;GO:0019660;GO:0019664;GO:0019752;GO:0032787;GO:0043436;GO:0043648;GO:0046031;GO:0046034;GO:0046073;GO:0046294;GO:0046487;GO:0046496;GO:0055086;GO:0072350;GO:1903964;GO:1903966
GO:0044403,4,0.757575757575758,symbiosis, encompassing mutualism t...,GO:0019083;GO:0039695;GO:1904971;GO:1904973
GO:0048646,8,1.51515151515152,anatomical structure formation invo...,GO:0001843;GO:0010338;GO:0048449;GO:0048453;GO:0060143;GO:0060606;GO:1901741;GO:1905393
GO:0048856,35,6.62878787878788,anatomical structure development,GO:0001843;GO:0009933;GO:0009934;GO:0010051;GO:0010075;GO:0010082;GO:0010162;GO:0010231;GO:0010305;GO:0010338;GO:0010358;GO:0010831;GO:0045687;GO:0048437;GO:0048440;GO:0048443;GO:0048449;GO:0048453;GO:0048509;GO:0048580;GO:0048827;GO:0048831;GO:0060143;GO:0060606;GO:0060670;GO:0060674;GO:0080050;GO:1901741;GO:1902033;GO:1902035;GO:1905393;GO:2000014;GO:2000024;GO:2000280;GO:2000392
GO:0048870,2,0.378787878787879,cell motility,GO:0010634;GO:0060327
GO:0050877,0,0,nervous system process,
GO:0051186,10,1.89393939393939,cofactor metabolic process,GO:0006096;GO:0006732;GO:0006733;GO:0009106;GO:0009107;GO:0019362;GO:0019660;GO:0019664;GO:0046496
GO:0051276,4,0.757575757575758,chromosome organization,GO:0006265;GO:0071103;GO:1990258;GO:2001251
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,2,0.378787878787879,transmembrane transport,GO:0035674;GO:0099093
GO:0061024,0,0,membrane organization,
GO:0065003,0,0,macromolecular complex assembly,
GO:0071554,0,0,cell wall organization or biogenesi...,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
