,Count,Percent,Term,go_terms
GO:0008150,118,60.8247422680412,biological_process,GO:0000122;GO:0001932;GO:0003008;GO:0051726;GO:0007155;GO:0007165;GO:0035556;GO:0006310;GO:0006355;GO:0006357;GO:0006928;GO:0006950;GO:0007154;GO:0009653;GO:0007346;GO:0050877;GO:0007610;GO:0009314;GO:0009628;GO:0009889;GO:0009890;GO:0009891;GO:0009892;GO:0009893;GO:0009966;GO:0009967;GO:0009968;GO:0010243;GO:0010468;GO:0010556;GO:0010557;GO:0010558;GO:0010562;GO:0010564;GO:0010604;GO:0010605;GO:0010628;GO:0010629;GO:0010646;GO:0010647;GO:0010648;GO:0045935;GO:0016477;GO:0045893;GO:0045892;GO:0019219;GO:0019220;GO:0019222;GO:0022402;GO:0022412;GO:0022610;GO:0033554;GO:0023051;GO:0023056;GO:0023057;GO:0030154;GO:0030155;GO:0031323;GO:0031324;GO:0031325;GO:0031326;GO:0031327;GO:0031328;GO:0031399;GO:0031401;GO:0032502;GO:0033993;GO:0045596;GO:0045787;GO:0045934;GO:0045937;GO:0048468;GO:0048513;GO:0048518;GO:0048519;GO:0048522;GO:0048523;GO:0048583;GO:0048585;GO:0048856;GO:0048869;GO:0050789;GO:0050793;GO:0050794;GO:0050896;GO:0051093;GO:0051128;GO:0051130;GO:0051171;GO:0051172;GO:0051173;GO:0051174;GO:0051241;GO:0051252;GO:0051253;GO:0051254;GO:0051716;GO:0051960;GO:0051961;GO:0060255;GO:0060341;GO:0065007;GO:0065008;GO:0080090;GO:1901700;GO:1901701;GO:1902531;GO:1902533;GO:1902679;GO:1902680;GO:1903047;GO:1903506;GO:1903507;GO:1903508;GO:1903827;GO:2000112;GO:2000113;GO:2001141
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell proliferation,
GO:0009056,0,0,catabolic process,
GO:0009058,22,11.340206185567,biosynthetic process,GO:0000122;GO:0006355;GO:0006357;GO:0009889;GO:0009890;GO:0009891;GO:0010556;GO:0010557;GO:0010558;GO:0045893;GO:0045892;GO:0031326;GO:0031327;GO:0031328;GO:1902679;GO:1902680;GO:1903506;GO:1903507;GO:1903508;GO:2000112;GO:2000113;GO:2001141
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,0,0,cellular component assembly,
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,3,1.54639175257732,cell differentiation,GO:0045596;GO:0048468
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellula...,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,18,9.27835051546392,cellular nitrogen compound metaboli...,GO:0000122;GO:0006310;GO:0006355;GO:0006357;GO:0045935;GO:0045893;GO:0045892;GO:0019219;GO:0045934;GO:0051252;GO:0051253;GO:0051254;GO:1902679;GO:1902680;GO:1903506;GO:1903507;GO:1903508;GO:2001141
GO:0034655,0,0,nucleobase-containing compound cata...,
GO:0040007,0,0,growth,
GO:0040011,1,0.515463917525773,locomotion,GO:0016477
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,0,0,homeostatic process,
GO:0043473,0,0,pigmentation,
GO:0044281,0,0,small molecule metabolic process,
GO:0044403,0,0,symbiosis, encompassing mutualism t...,
GO:0048646,0,0,anatomical structure formation invo...,
GO:0048856,6,3.09278350515464,anatomical structure development,GO:0009653;GO:0048468;GO:0048513;GO:0051960;GO:0051961
GO:0048870,1,0.515463917525773,cell motility,GO:0016477
GO:0050877,1,0.515463917525773,nervous system process,
GO:0051186,0,0,cofactor metabolic process,
GO:0051276,0,0,chromosome organization,
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,0,0,transmembrane transport,
GO:0061024,0,0,membrane organization,
GO:0065003,0,0,macromolecular complex assembly,
GO:0071554,0,0,cell wall organization or biogenesi...,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
